-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.567,  0.379
-183.758, 80.117, 0.662,  0.412
-183.740, 80.091, 0.817,  0.445
-183.719, 80.061, 0.960,  0.478
-183.693, 80.027, 1.112,  0.511
-183.664, 79.987, 1.287,  0.544
-183.632, 79.942, 1.485,  0.577
-183.598, 79.891, 1.694,  0.610
-183.562, 79.834, 1.905,  0.643
-183.525, 79.770, 2.116,  0.676
-183.486, 79.700, 2.325,  0.709
-183.445, 79.624, 2.530,  0.742
-183.403, 79.541, 2.731,  0.775
-183.360, 79.453, 2.929,  0.808
-183.316, 79.359, 3.122,  0.841
-183.270, 79.258, 3.310,  0.874
-183.224, 79.152, 3.495,  0.907
-183.176, 79.040, 3.674,  0.940
-183.128, 78.922, 3.850,  0.973
-183.080, 78.798, 4.021,  1.006
-183.032, 78.669, 4.189,  1.039
-182.983, 78.533, 4.352,  1.072
-182.935, 78.392, 4.512,  1.105
-182.887, 78.245, 4.669,  1.138
-182.840, 78.093, 4.823,  1.171
-182.794, 77.935, 4.976,  1.204
-182.748, 77.772, 5.128,  1.237
-182.703, 77.603, 5.278,  1.270
-182.659, 77.429, 5.427,  1.303
-182.616, 77.249, 5.576,  1.336
-182.574, 77.064, 5.724,  1.369
-182.534, 76.874, 5.871,  1.402
-182.494, 76.678, 6.018,  1.435
-182.456, 76.477, 6.164,  1.468
-182.419, 76.271, 6.310,  1.501
-182.383, 76.060, 6.456,  1.534
-182.348, 75.844, 6.601,  1.567
-182.315, 75.623, 6.745,  1.600
-182.283, 75.397, 6.889,  1.633
-182.252, 75.165, 7.031,  1.666
-182.222, 74.929, 7.174,  1.699
-182.193, 74.688, 7.315,  1.732
